Textos_espanol;sdg;words
1. 1. Introducción: Las Estructuras del Derecho Penal 2. El Estándar de la Persona Razonable en el Derecho Penal 3. La Responsabilidad Penal de los Delincuentes Suerte resultante y responsabilidad penal 4. 4. Criminalización del sadomasoquismo: negación de lo erótico, instanciación de la violencia 5. Constitucionalismo y límites del Derecho Penal 6. Delincuencia internacional: contexto y contraste Forma jurídica y juicio moral: Eutanasia y suicidio asistido 8. Derecho anormal: La teratología como lógica de criminalización 9. Tensiones de la criminalización: Desierto Empírico, Cambio de Normas y Reforma de la Violación 10. Delitos de Preparación, Intereses de Seguridad y Libertad Política Delitos de preparación, intereses de seguridad y libertad política ;;['introducción', 'estructuras', 'derecho', 'penal', 'dos', 'estándar', 'persona', 'razonable', 'derecho', 'penal', 'tres', 'responsabilidad', 'penal', 'delincuentes', 'suerte', 'resultante', 'responsabilidad', 'penal', 'cuatro', 'cuatro', 'criminalización', 'sadomasoquismo', 'negación', 'erótico', 'instanciación', 'violencia', 'cinco', 'constitucionalismo', 'límite', 'derecho', 'penal', 'seis', 'delincuencia', 'internacional', 'contexto', 'contraste', 'forma', 'jurídico', 'juicio', 'moral', 'eutanasia', 'suicidio', 'asistir', 'ocho', 'derecho', 'anormal', 'teratología', 'lógica', 'criminalización', 'nueve', 'tensión', 'criminalización', 'desierto', 'empírico', 'cambio', 'normas', 'reforma', 'violación', 'diez', 'delitos', 'preparación', 'intereses', 'seguridad', 'libertad', 'política', 'delitos', 'preparación', 'interés', 'seguridad', 'libertad', 'política']
Las aguas subterráneas se han debatido en el contexto de la tarificación y la financiación (OCDE, 2009a y 2009b), la energía (OCDE, 2012b), la gestión de riesgos (OCDE, 2013e) y perspectivas más amplias que abarcan el cambio climático (OCDE, 2013d y 2014a). Las aguas subterráneas también aparecen en las revisiones de las reformas del agua a nivel nacional (por ejemplo, Fuentes, 2011, OCDE, 2013b). Todos estos informes incluyen secciones, subsecciones, párrafos o ilustraciones que se refieren a las aguas subterráneas, pero no transmiten conclusiones políticas específicamente orientadas a los gestores de tipos concretos de aguas subterráneas, sobre todo en el contexto de la agricultura. En primer lugar, una observación coherente es que las aguas subterráneas están generalmente poco estudiadas y que es necesario realizar una evaluación más profunda de las reservas, el uso y las prácticas de gestión de las aguas subterráneas. ;;['agua', 'subterráneo', 'haber', 'debatir', 'contexto', 'tarificación', 'financiación', 'ocde', '2009a', '2009b', 'energía', 'ocde', '2012b', 'gestión', 'riesgo', 'ocde', '2013e', 'perspectiva', 'amplio', 'abarcar', 'cambio', 'climático', 'ocde', '2013d', '2014a', 'agua', 'subterráneo', 'aparecer', 'revisión', 'reforma', 'agua', 'nivel', 'nacional', 'ejemplo', 'fuentes', 'dos mil once', 'ocde', '2013b', 'informe', 'incluir', 'sección', 'subsección', 'párrafo', 'ilustración', 'referir', 'agua', 'subterráneo', 'transmitir', 'conclusión', 'político', 'específicamente', 'orientado', 'gestor', 'tipo', 'concreto', 'agua', 'subterráneo', 'contexto', 'agricultura', 'primero', 'lugar', 'observación', 'coherente', 'ser', 'agua', 'subterráneo', 'generalmente', 'estudiado', 'ser', 'necesario', 'realizar', 'evaluación', 'profundo', 'reserva', 'uso', 'práctica', 'gestión', 'agua', 'subterráneo']
La presente contribución evalúa la jurisprudencia del Tribunal de Justicia de las Comunidades Europeas en materia de interpretación de las disposiciones del Convenio de Aarhus relativas al acceso a la justicia. Los casos se han referido al Ã¡mbito temporal de aplicaciÃ³n de las disposiciones sobre el acceso a la justicia, los proyectos ejecutados por actos especÃficos de legislaciÃ³n nacional y su exclusiÃ³n de las obligaciones derivadas del Convenio, las medidas cautelares y el effet utile de las disposiciones sobre el acceso a la justicia, el abanico de posibles motivos de recurso judicial, el papel de los errores de procedimiento, las costas procesales admisibles, el acceso a la justicia de las asociaciones ecologistas en virtud de distintas disposiciones del Convenio y la anulaciÃ³n de un permiso y su relaciÃ³n con el derecho de propiedad. Como también se muestra, esta jurisprudencia es al mismo tiempo relevante -aunque no vinculante- para Suiza como Estado no miembro de la UE, pero parte del Convenio. ;;['presente', 'contribución', 'evalúar', 'jurisprudencia', 'tribunal', 'justicia', 'comunidades', 'europeas', 'materia', 'interpretación', 'disposición', 'convenio', 'aarhus', 'relativo', 'acceso', 'justicia', 'caso', 'haber', 'referir', 'mbito', 'temporal', 'aplicaciãn', 'disposición', 'acceso', 'justicia', 'proyecto', 'ejecutado', 'acto', 'especãficos', 'legislaciãn', 'nacional', 'exclusiãn', 'obligación', 'derivado', 'convenio', 'medida', 'cautelar', 'effet', 'utile', 'disposición', 'acceso', 'justicia', 'abanico', 'posible', 'motivo', 'recurso', 'judicial', 'papel', 'error', 'procedimiento', 'costa', 'procesal', 'admisible', 'acceso', 'justicia', 'asociación', 'ecologista', 'virtud', 'distinto', 'disposición', 'convenio', 'anulaciãn', 'permiso', 'relaciãn', 'derecho', 'propiedad', 'mostrar', 'jurisprudencia', 'ser', 'mismo', 'tiempo', 'relevante', 'aunque', 'vinculante', 'suiza', 'miembro', 'ue', 'parte', 'convenio']
Sin embargo, este crédito fiscal expira en 2012. Wemau (2011a) calcula que hasta una quinta parte de la capacidad de generaciÃ³n de energÃa del Estado podrÃa decidir abandonar el mercado en lugar de invertir en las mejoras necesarias, lo que podrÃa aumentar el precio del carbÃ³n en un 65% y ofrecer oportunidades a las fuentes de energÃa renovables. Ahorra aproximadamente 47 000 toneladas de CO2 al aÃ±o y sustituye anualmente mÃ¡s de ocho millones de desplazamientos en vehÃculo privado en la ciudad de Calgary. ;;['embargo', 'crédito', 'fiscal', 'expirar', 'dos mil doce', 'wemau', '2011a', 'calcular', 'quinto', 'parte', 'capacidad', 'generaciãn', 'energãa', 'poder', 'decidir', 'abandonar', 'mercado', 'lugar', 'invertir', 'mejora', 'necesario', 'poder', 'aumentar', 'precio', 'carbãn', 'sesenta y cinco', 'ofrecer', 'oportunidad', 'fuente', 'energãa', 'renovable', 'ahorrar', 'aproximadamente', 'cuarenta y siete', 'cero', 'tonelada', 'co2', 'aã', 'sustituir', 'anualmente', 'mã', 's', 'ocho', 'millón', 'desplazamiento', 'vehãculo', 'privado', 'ciudad', 'calgar']
Este estudio explora las actitudes, comportamientos y percepciones éticas de una muestra de estudiantes de ciencias políticas de Taiwán. Investiga sus intenciones de observar la ética en el ámbito de los derechos digitales, en temas como la libertad de expresión, la libertad de asociación, la igualdad de acceso a la información, la confidencialidad, la seguridad y la protección de la propiedad intelectual en el uso de ordenadores. Basándose en estudios preliminares, se diseñó un cuestionario que se distribuyó a 660 estudiantes de ciencias políticas y administración pública de todas las facultades de Taiwán. Los datos recogidos de 440 muestras válidas se han analizado mediante un modelo de ecuaciones estructurales para poner a prueba los tres conjuntos de hipótesis formuladas por los investigadores en el marco de la teoría del comportamiento planificado. Los resultados muestran que la actitud, la norma subjetiva y el control percibido de la conducta de los encuestados influyen positivamente en la observación personal de la ética de la información. En este sentido, el altruismo, el grupo secundario y la sensación de seguridad tienen gr... ;;['estudio', 'explorar', 'actitud', 'comportamiento', 'percepción', 'ético', 'muestra', 'estudiante', 'ciencia', 'político', 'taiwán', 'investigar', 'intención', 'observar', 'ética', 'ámbito', 'derecho', 'digital', 'tema', 'libertad', 'expresión', 'libertad', 'asociación', 'igualdad', 'acceso', 'información', 'confidencialidad', 'seguridad', 'protección', 'propiedad', 'intelectual', 'uso', 'ordenador', 'basar', 'estudio', 'preliminar', 'diseñar', 'cuestionario', 'distribuir', 'seiscientos sesenta', 'estudiante', 'ciencia', 'político', 'administración', 'público', 'facultad', 'taiwán', 'dato', 'recogido', 'cuatrocientos cuarenta', 'muestra', 'válido', 'haber', 'analizar', 'mediante', 'modelo', 'ecuación', 'estructural', 'poner', 'prueba', 'tres', 'conjunto', 'hipótesis', 'formulado', 'investigador', 'marco', 'teoría', 'comportamiento', 'planificado', 'resultado', 'mostrar', 'actitud', 'norma', 'subjetivo', 'control', 'percibido', 'conducta', 'encuestado', 'influir', 'positivamente', 'observación', 'personal', 'ética', 'información', 'altruismo', 'grupo', 'secundario', 'sensación', 'seguridad', 'tener', 'gr']
"Desde los tratados de paz de Westfalia de 1648 hasta la Carta de las Naciones Unidas de 1945, el derecho internacional pÃºblico ha evolucionado como un sistema de derechos y obligaciones recÃprocos entre Estados basado en la igualdad soberana y la no intervenciÃ³n en los asuntos internos de los Estados.1 La Carta de las Naciones Unidas, centrada en los Estados, y su sistema de seguridad colectiva establecido por las potencias vencedoras de la Segunda Guerra Mundial,2 afirman su prioridad jurÃdica sobre otros tratados internacionales en conflicto.3 Sin embargo, el enfoque unilateral del tradicional ""derecho internacional de los Estados"" sobre la libertad y el poder de los gobiernos, en lugar de sobre los derechos humanos de sus ciudadanos, es cada vez mÃ¡s cuestionado por los parlamentos nacionales y los grupos de la sociedad civil por ser incompatible con el reconocimiento universal de los derechos humanos inalienables y con la necesidad de una legislaciÃ³n democrÃ¡tica que proteja los derechos humanos y la ""paz democrÃ¡tica"".4 ";;['tratado', 'paz', 'westfalia', 'mil seiscientos cuarenta y ocho', 'carta', 'naciones', 'unidas', 'mil novecientos cuarenta y cinco', 'derecho', 'internacional', 'pãblico', 'haber', 'evolucionar', 'sistema', 'derecho', 'obligación', 'recãprocos', 'basado', 'igualdad', 'soberano', 'intervenciãn', 'asunto', 'interno', 'carta', 'naciones', 'unidas', 'centrado', 'sistema', 'seguridad', 'colectivo', 'establecido', 'potencia', 'vencedor', 'segunda', 'guerra', 'mundial', 'dos', 'afirmar', 'prioridad', 'jurãdica', 'tratado', 'internacional', 'conflicto', 'tres', 'embargo', 'enfoque', 'unilateral', 'tradicional', 'derecho', 'internacional', 'libertad', 'poder', 'gobierno', 'lugar', 'derecho', 'humanos', 'ciudadano', 'ser', 'cada', 'vez', 'mã', 's', 'cuestionar', 'parlamento', 'nacional', 'grupo', 'sociedad', 'civil', 'ser', 'incompatible', 'reconocimiento', 'universal', 'derecho', 'humanos', 'inalienable', 'necesidad', 'legislaciãn', 'democrã', 'tico', 'proteger', 'derecho', 'humanos', 'paz', 'democrã', 'tico', 'cuatro']
"La existencia o creación de vínculos entre los ámbitos políticos proporcionaría una arquitectura institucional coherente y mejoraría la eficacia de la política de aguas. También garantizaría que los planes de inversión reflejaran mejor las prioridades de la cuenca y que el gasto público en todos los sectores se ajustara mejor a los objetivos de la política de aguas. El potencial de coherencia política en el ámbito de las cuencas hidrográficas podría mejorarse mediante la participación sistemática de los organismos y consejos de cuenca; se trata de un ámbito que hay que seguir explotando. En particular, la Agenda prevé la creación de una Secretaría de Ordenamiento Territorial para una estrategia de ordenamiento territorial a largo plazo, un Observatorio Nacional de Ordenamiento Territorial Sustentable y un Instituto Nacional de Planeación del Desarrollo para asegurar la armonización a largo plazo entre las diferentes políticas de desarrollo sectorial y territorial en México. Tales herramientas ayudarían a dejar atrás las tradicionales discusiones bilaterales ad hoc entre la CONAGUA y otras agencias (CONAFOR, SEDESOL, SAGARPA, etc.). La actual configuración institucional para tratar las cuestiones del cambio climático podría servir de ejemplo para movilizar a instituciones clave de la administración pública federal hacia la coherencia política (véase el recuadro 1.10). ";;['existencia', 'creación', 'vínculo', 'ámbito', 'político', 'proporcionar', 'arquitectura', 'institucional', 'coherente', 'mejorar', 'eficacia', 'política', 'agua', 'garantizar', 'plan', 'inversión', 'reflejar', 'mejor', 'prioridad', 'cuenca', 'gasto', 'público', 'sector', 'ajustar', 'mejor', 'objetivo', 'política', 'agua', 'potencial', 'coherencia', 'política', 'ámbito', 'cuenca', 'hidrográfico', 'poder', 'mejorar', 'mediante', 'participación', 'sistemático', 'organismo', 'consejo', 'cuenca', 'tratar', 'ámbito', 'haber', 'seguir', 'explotar', 'particular', 'agenda', 'prever', 'creación', 'secretaría', 'ordenamiento', 'territorial', 'estrategia', 'ordenamiento', 'territorial', 'largo', 'plazo', 'observatorio', 'nacional', 'ordenamiento', 'territorial', 'sustentable', 'instituto', 'nacional', 'planeación', 'desarrollo', 'asegurar', 'armonización', 'largo', 'plazo', 'diferente', 'política', 'desarrollo', 'sectorial', 'territorial', 'méxico', 'tal', 'herramienta', 'ayudar', 'dejar', 'atrás', 'tradicional', 'discusión', 'bilateral', 'ed', 'hoc', 'conagua', 'agencia', 'conafor', 'sedesol', 'sagarpa', 'actual', 'configuración', 'institucional', 'tratar', 'cuestión', 'cambio', 'climático', 'poder', 'servir', 'ejemplo', 'movilizar', 'institución', 'clave', 'administración', 'público', 'federal', 'hacia', 'coherencia', 'política', 'ver', 'recuadro', 'diez']
La seguridad marítima es una de las principales preocupaciones de Malasia como nación marítima. No obstante, la cuestión crucial es si existen leyes adecuadas para hacer frente a los principales delitos marítimos que requieren medidas policiales eficaces. El documento constata que ningún delito marítimo está tipificado en el Código Penal, la principal ley penal de Malasia, y que no existe ni una ley antipiratería ni ninguna otra ley penal especial en Malasia para combatir los delitos marítimos. La lamentable falta de aplicación de una ley más apropiada para perseguir a los piratas somalíes demuestra bien la urgente necesidad en Malasia de una reforma legislativa que pueda combatir eficazmente los delitos marítimos. Sobre la base de un análisis de las leyes de determinados países de common law, el documento concluye con sugerencias sobre una propuesta de ley de delitos marítimos para recomendar al Gobierno de Malasia. ;;['seguridad', 'marítimo', 'ser', 'principal', 'preocupación', 'malasia', 'nación', 'marítimo', 'obstante', 'cuestión', 'crucial', 'ser', 'si', 'existir', 'ley', 'adecuado', 'hacer', 'frente', 'principal', 'delito', 'marítimo', 'requerir', 'medida', 'policial', 'eficaz', 'documento', 'constatar', 'ninguno', 'delito', 'marítimo', 'tipificado', 'código', 'penal', 'principal', 'ley', 'penal', 'malasia', 'existir', 'ley', 'antipiraterio', 'ninguno', 'ley', 'penal', 'especial', 'malasia', 'combatir', 'delito', 'marítimo', 'lamentable', 'falta', 'aplicación', 'ley', 'apropiado', 'perseguir', 'pirata', 'somal', 'demostrar', 'bien', 'urgente', 'necesidad', 'malasia', 'reforma', 'legislativo', 'poder', 'combatir', 'eficazmente', 'delito', 'marítimo', 'base', 'análisis', 'ley', 'determinado', 'país', 'common', 'law', 'documento', 'concluir', 'sugerencia', 'propuesta', 'ley', 'delito', 'marítimo', 'recomendar', 'gobierno', 'malasia']
El Derecho Penal Internacional [DPI] contiene una serie de principios generales, que constituyen los fundamentos y las condiciones para considerar a los individuos penalmente responsables de crímenes de derecho internacional (genocidio, crímenes de lesa humanidad, crímenes de guerra y crimen de agresión), y otros crímenes contra la paz y la seguridad de la humanidad. La mayoría de los principios generales de la LCI se han aplicado adecuadamente en la actual (segunda) edición del Código Penal de la República de Kazajstán. Este documento evalÃºa la calidad e identifica las lagunas en la implementaciÃ³n del CÃ³digo Penal de KazajstÃ¡n, con el fin de sugerir nuevas mejoras al mismo. ;;['derecho', 'penal', 'internacional', 'dpi', 'contener', 'serie', 'principio', 'general', 'constituir', 'fundamento', 'condición', 'considerar', 'individuo', 'penalmente', 'responsable', 'crimen', 'derecho', 'internacional', 'genocidio', 'crimen', 'lesa', 'humanidad', 'crimen', 'guerra', 'crimen', 'agresión', 'crimen', 'paz', 'seguridad', 'humanidad', 'mayoría', 'principio', 'general', 'lci', 'haber', 'aplicar', 'adecuadamente', 'actual', 'segundo', 'edición', 'código', 'penal', 'república', 'kazajstán', 'documento', 'evalãa', 'calidad', 'identificar', 'laguna', 'implementacir', 'cãdigo', 'penal', 'kazajstã', 'n', 'fin', 'sugerir', 'nuevo', 'mejora', 'mismo']
El proyecto de gasoducto pretende establecer acuerdos de interconexión de electricidad y gas natural en la ASEAN para garantizar una mayor seguridad y sostenibilidad del suministro energético en la región, al tiempo que se conectan los gasoductos y terminales de regasificación existentes y previstos, minimizando el impacto medioambiental. Esta labor está dirigida por el Consejo del Petróleo de la ASEAN, integrado por el responsable de la compañía petrolera nacional de cada país miembro. La asociación se centra en la cooperación económica regional y la capacitación institucional, con el objetivo de promover el desarrollo de los recursos energéticos (incluida la energía hidroeléctrica), facilitar el comercio de energía en la región, desarrollar recursos energéticos renovables y alternativos y promover la eficiencia y la conservación energéticas. ;;['proyecto', 'gasoducto', 'pretender', 'establecer', 'acuerdo', 'interconexión', 'electricidad', 'gas', 'natural', 'asean', 'garantizar', 'mayor', 'seguridad', 'sostenibilidad', 'suministro', 'energético', 'región', 'tiempo', 'conectar', 'gasoducto', 'terminal', 'regasificación', 'existente', 'previsto', 'minimizar', 'impacto', 'medioambiental', 'labor', 'dirigido', 'consejo', 'petróleo', 'asean', 'integrado', 'responsable', 'compañía', 'petrolero', 'nacional', 'cada', 'país', 'miembro', 'asociación', 'centrar', 'cooperación', 'económico', 'regional', 'capacitación', 'institucional', 'objetivo', 'promover', 'desarrollo', 'recurso', 'energético', 'incluido', 'energía', 'hidroeléctrico', 'facilitar', 'comercio', 'energía', 'región', 'desarrollar', 'recurso', 'energético', 'renovable', 'alternativo', 'promover', 'eficiencia', 'conservación', 'energético']
